time_s,dt_s,gcl_max_m3_s,component_compatibility_m3_s,correction_relative_l2,correction_max_m_s,raw_max_m_s,budget_error_ppm_m3,boundary_outward_ppm_m3_s,linear_residual_ppm_m3,source_ppm_m3_s,cumulative_budget_error_ppm_m3,roi_correction_relative_l2,interface_correction_relative_l2,co2_min_ppm,co2_max_ppm,max_diffusivity_m2_s
1426.524941313043,0.06870403350853849,4.440892098500626e-16,0.0,0.011910603446783529,0.38973402533923196,5.514083629754396,-6.069963975896542e-12,-1.4807044687886788,4.440892098500626e-16,-1.0862756164336873,4.899220584775321e-9,0.029417678714281244,0.09945246643483,395.0827634126434,400.0000000000001,0.0497326580346342
1426.5936304556228,0.06868914257984216,5.551115123125783e-16,0.0,0.011910174180270613,0.38971970260012834,5.513624148585501,-1.0741126738045281e-11,-1.4801895593153338,4.996003610813204e-16,-1.0862756164336873,4.888534022029489e-9,0.0294160833776543,0.0994521582833736,395.08220463185876,400.0000000000001,0.049742403754173936
1426.6623387593718,0.06870830374873549,6.661338147750939e-16,0.0,0.01191086911753862,0.389741430434807,5.514202416417197,2.301716803265741e-11,-1.4796545628232183,5.551115123125783e-16,-1.0862756164336873,4.911726136924699e-9,0.029414845383587553,0.09946023329108904,395.0816361258794,400.0000000000001,0.04975191498120544
1426.7310342589021,0.06869549953034948,6.106226635438361e-16,0.0,0.01191062619306119,0.3897337102639439,5.513526040693558,-4.5311122909286183e-11,-1.4790995605851514,4.996003610813204e-16,-1.0862756164336873,4.8662514018360525e-9,0.029413351933812133,0.09946102779801484,395.08105865114726,400.0000000000001,0.04976043898457821
1426.79975082933,0.06871657042779589,4.440892098500626e-16,0.0,0.011911505095719298,0.389761506777603,5.513879501597686,3.408951940175875e-11,-1.4784943530129158,4.440892098500626e-16,-1.0862756164336873,4.900357453152537e-9,0.02941225484198428,0.09947049157753483,395.08047204507034,400.0000000000001,0.04976856475218206
1426.868455815563,0.06870498623334242,4.440892098500626e-16,0.0,0.011911443583183245,0.38975920328426084,5.5130609089575255,-2.0090658303661968e-11,-1.4778954560202986,4.440892098500626e-16,-1.0862756164336873,4.880348569713533e-9,0.029410901117492436,0.09947203346386109,395.0798770036601,400.0000000000001,0.04977552991625967
1426.937182295888,0.06872648032481266,4.440892098500626e-16,0.0,0.011912445326982666,0.3897905117203778,5.513305163444933,-4.676166745487542e-11,-1.477273506430178,4.440892098500626e-16,-1.0862756164336873,4.833509592572227e-9,0.029409947456300115,0.09948151656803435,395.07927333012066,400.0000000000001,0.04978194151275356
1427.0058976529247,0.06871535703658083,5.273559366969494e-16,0.0,0.01191248605967381,0.3897914316627984,5.512394930144654,8.193293266067769e-11,-1.4766286251199037,5.551115123125783e-16,-1.0862756164336873,4.915591489407234e-9,0.029408763465938497,0.09948259434921908,395.07866169787053,400.0000000000001,0.04978707863954982
1427.0746335707215,0.0687359177968574,4.440892098500626e-16,0.0,0.011913515016244899,0.389823057400129,5.512506100694525,-1.9233583475886107e-11,-1.4759604411630218,5.551115123125783e-16,-1.0862756164336873,4.896264726994559e-9,0.02940797823821914,0.09949075889338732,395.07804187746535,400.00000000000006,0.049791616343223634
1427.1433572161068,0.06872364538503462,4.440892098500626e-16,0.0,0.0119135225639556,0.38982252844315524,5.511530632131099,-5.314325368654949e-13,-1.475269473782293,3.885780586188048e-16,-1.0862756164336873,4.895809979643673e-9,0.029406957057920288,0.09949048378535308,395.07741452857823,400.0000000000001,0.04979481923349536
