time_s,gap_m,fans_on,co2_mean_ppm,co2_spatial_sd_ppm,co2_min_ppm,co2_max_ppm,net_exchange_umol_s,roi_mean_speed_m_s
210.0,0.0,1,397.6237720890595,0.5811610003064861,395.1614279870945,400.0000000000001,-44.40047791098563,0.13997944616690738
220.0,0.0,1,397.5106183790147,0.5863711479228848,395.0381977272941,400.0000000000001,-44.40047791098563,0.14005494151971776
230.0,0.0,1,397.3974646689701,0.5913565916861265,394.92324277486864,400.0000000000001,-44.40047791098563,0.14003832494209775
240.0,0.0,1,397.2843109589253,0.5958443285493183,394.81366744258037,400.0000000000001,-44.40047791098563,0.13995231849271875
249.99999999999994,0.0,1,397.17115724888055,0.5997592127309272,394.71620018926535,400.0000000000001,-44.40047791098563,0.13981102646363144
260.0,0.0,1,397.05800353883575,0.6034507574440974,394.6529524799654,400.0000000000001,-44.40047791098563,0.13960925035550534
270.0,0.0,1,396.94484982879095,0.607162320945744,394.59678153459805,400.00000000000017,-44.40047791098563,0.1393897927252111
280.0,0.0,1,396.83169611874627,0.6110331173239475,394.51442768864,400.0000000000001,-44.40047791098563,0.13926020899385388
290.0,0.0,1,396.7185424087015,0.6147138925144319,394.40355050596105,400.0000000000001,-44.40047791098563,0.13921472870104376
300.0,0.0,0,396.6053886986568,0.6181960517265928,394.27663200587375,400.00000000000017,-44.40047791098563,0.13928107215211927
310.0,1.0,0,397.3573375238678,1.2706492751837486,392.42977347665425,400.0000000000001,-44.40047791098563,0.10555275504187962
320.0,2.0,0,398.01999041144535,1.430469452832719,391.1960942351059,400.0000000000001,-44.40047791098563,0.09716862398855625
329.99999999999994,2.0,0,397.98264996705876,1.0912358288787025,393.89658783361125,400.00000000000006,-44.40047791098563,0.11758850928387926
340.0,2.0,0,398.0854873451142,0.9946364188541973,393.0735717505857,400.0000000000001,-44.40047791098563,0.13341348592780097
350.0,2.0,0,398.21922103045245,0.9806232041550363,393.8140793751755,400.0000000000001,-44.40047791098563,0.13764859049114478
360.0,2.0,0,398.35122885096416,0.9724361231437804,393.235202314353,400.00000000000006,-44.40047791098563,0.13729901146734996
370.00000000000006,2.0,0,398.46259887911316,0.9718993976420219,392.2154378976129,400.0000000000001,-44.40047791098563,0.13554648971155137
379.99999999999994,2.0,0,398.55870595915354,0.9590445729071088,392.6627081895023,400.00000000000006,-44.40047791098563,0.1349962020738906
390.0,2.0,0,398.64643068435845,0.9416052740866379,393.01904919879223,400.00000000000006,-44.40047791098563,0.13533136042689303
400.0,2.0,0,398.7270597462534,0.9172870233258819,393.4236317805584,400.0000000000001,-44.40047791098563,0.1358077523284609
410.0,2.0,0,398.7982015401897,0.8914512543983216,393.6767738746323,400.0000000000001,-44.40047791098563,0.13613844098539027
420.0,2.0,0,398.8589139650505,0.8690782289925513,393.83186873079933,400.00000000000006,-44.40047791098563,0.1361433520869899
430.0,2.0,0,398.9098518632374,0.8495174775083801,394.0709745964678,400.0000000000001,-44.40047791098563,0.13614199337369579
440.00000000000006,2.0,0,398.9522846856067,0.8332521103936329,394.18431761922363,400.00000000000006,-44.40047791098563,0.13629910209684895
450.0,2.0,0,398.9881745506154,0.8167252099674239,394.2630981261527,400.0000000000001,-44.40047791098563,0.13636264345293936
460.00000000000006,2.0,0,399.0188889463957,0.8034715278616804,394.4192498479959,400.0000000000001,-44.40047791098563,0.13618063823463253
470.0,2.0,0,399.0453796571739,0.7923621757411423,394.8967997447297,400.00000000000006,-44.40047791098563,0.13586294399024482
480.00000000000006,2.0,0,399.07032325134327,0.7839015995522353,395.2289565032607,400.00000000000006,-44.40047791098563,0.1352872259074113
490.0,2.0,0,399.0945864749148,0.7768080131590979,395.20875345698676,400.00000000000006,-44.40047791098563,0.13433736376760821
500.0,2.0,0,399.11644943345055,0.7691675533954149,395.1184281176696,400.00000000000006,-44.40047791098563,0.13284114847458794
510.00000000000006,2.0,0,399.133425380663,0.7661934299357318,395.228261471462,400.0000000000001,-44.40047791098563,0.13143092676579077
519.9999999999999,2.0,0,399.1440215720693,0.7721193711111667,395.12798608310527,400.00000000000006,-44.40047791098563,0.13183201344535722
