time_s,gap_m,roi_mean_ppm,roi_std_ppm,roi_volume_m3,minimum_ppm,maximum_ppm,inventory_ppm_m3,deficit_ppm_m3,max_speed_m_s,budget_residual_ppm_m3,budget_fraction,divergence_s_inv,gcl_m3,max_courant,eddy_diffusivity_m2_s,source_umol_s,mouth_inflow_m3_s,mouth_outflow_m3_s,centre_low_ppm,centre_mid_ppm,centre_high_ppm,left_mid_ppm,right_mid_ppm,left_half_mean_ppm,right_half_mean_ppm,shell_volume_m3,shell_mean_ppm,shell_std_ppm,fans_on,fan_force_n,roi_mean_speed_m_s
73.5,0.0,399.1683202130157,0.8164244264612773,96.0,395.048409031016,400.0000000000006,520720.15874044946,79.84125955055558,1.551244086536465,-1.7441529536199596e-06,5.352088448620821e-09,1.4173059888831793e-15,4.163336342344337e-17,1.6713328241846042,0.021015688421304822,-44.40047791098563,0.0,0.0,399.1486469262533,398.42860926195533,399.1053512239921,399.7864993207667,398.79231964245923,398.9477646347594,399.38887579127214,96.0,399.1683202130157,0.8164244264612773,1,1.5383767444688012,0.17109822965333196
73.75,0.0,399.16549137016483,0.8171300025648973,96.0,395.03824769813446,400.0000000000006,520719.88717153575,80.11282846424366,1.5511931957448122,-1.753760543010685e-06,5.381570191085248e-09,1.4802973661668755e-15,4.163336342344337e-17,1.6712791747477456,0.021014913309564214,-44.40047791098563,0.0,0.0,399.14802944184004,398.42639014152394,399.1020316976925,399.7826458171653,398.7904687987658,398.94489366889457,399.3860890714352,96.0,399.16549137016483,0.8171300025648973,1,1.5383767444688012,0.17115026347637188
74.0,0.0,399.16266252730975,0.8178423900847325,96.0,395.02801473376945,400.0000000000007,520719.6156026217,80.38439737833346,1.5511420996943195,-1.763718742608944e-06,5.412127812151843e-09,1.4802973661668755e-15,4.163336342344337e-17,1.6712256818830626,0.02101413818092227,-44.40047791098563,0.0,0.0,399.14745357993075,398.4241636107921,399.09864939335347,399.77879892584696,398.78867479268905,398.94201583164914,399.38330922297035,96.0,399.16266252730975,0.8178423900847325,1,1.5383767444688012,0.17120229539674625
74.25,0.0,399.1598336844507,0.8185645269078777,96.0,395.01771543402464,400.0000000000006,520719.3440337073,80.6559662927985,1.55109079657156,-1.774025278677982e-06,5.4437543346571695e-09,1.4340380734741607e-15,4.163336342344337e-17,1.6711723446862368,0.021013363043618546,-44.40047791098563,0.0,0.0,399.14691235650656,398.42192688628495,399.09521146453795,399.77501760723806,398.7869358069094,398.9391311002426,399.3805362686589,96.0,399.1598336844507,0.8185645269078777,1,1.5383767444688012,0.17125432990281717
74.5,0.0,399.1570048415881,0.8192654503225445,96.0,395.00735489156864,400.0000000000006,520719.07246479247,80.92753520760783,1.5510392859907345,-1.7847383588787125e-06,5.476628373985242e-09,1.4173059888831793e-15,4.163336342344337e-17,1.671119162204281,0.021012587905009195,-44.40047791098563,0.0,0.0,399.1463961402135,398.41967697619634,399.09172519557455,399.77123975318136,398.7852500501598,398.9362394323068,399.37777025086945,96.0,399.1570048415881,0.8192654503225445,1,1.5383767444688012,0.17130637693161055
74.75,0.0,399.15417599872245,0.8199594465529555,96.0,394.99693800800304,400.0000000000006,520718.80089587736,81.19910412271147,1.5509875695140452,-1.7957438984694818e-06,5.510399850960553e-09,1.4173059888831793e-15,4.163336342344337e-17,1.6710661335015895,0.02101181277188535,-44.40047791098563,0.0,0.0,399.1458943304529,398.4174106694836,399.0881965059765,399.76745655672744,398.78361707423824,398.9333408994539,399.37501109799103,96.0,399.15417599872245,0.8199594465529555,1,1.5383767444688012,0.17135844611587817
75.0,0.0,399.15134715585435,0.8206538315318288,96.0,394.98646935712003,400.0000000000006,520718.52932696196,81.47067303805429,1.5509356496113849,-1.8070405332082373e-06,5.545064579285037e-09,1.4802973661668755e-15,4.163336342344337e-17,1.6710132575602659,0.021011037650959456,-44.40047791098563,0.0,0.0,399.1454218847672,398.4151245818802,399.08463189661154,399.763667449551,398.78203591784643,398.93043524725425,399.37225906445445,96.0,399.15134715585435,0.8206538315318288,1,1.5383767444688012,0.17141054173832856
75.25,0.0,399.1485183129844,0.8213497417241747,96.0,394.9759534139039,400.0000000000006,520718.2577580465,81.74224195356976,1.5508835291462397,-1.8183952619210686e-06,5.579907574135366e-09,1.4802973661668755e-15,3.2959746043559335e-17,1.6709605333241055,0.02101026254870844,-44.40047791098563,0.0,0.0,399.1450498394609,398.4128150966493,399.08103851611736,399.7598703574497,398.7804840189672,398.92752154715936,399.3695150788094,96.0,399.1485183129844,0.8213497417241747,1,1.5383767444688012,0.17146267302835447
75.5,0.0,399.1456894701134,0.8220500914759905,96.0,394.9653946016352,400.0000000000006,520717.9861891309,82.01381086917911,1.5508312110998772,-1.8298670312333343e-06,5.6151097184736765e-09,1.4340380734741607e-15,4.163336342344337e-17,1.6709079596899357,0.021009487471565412,-44.40047791098563,0.0,0.0,399.1446619803255,398.410477821296,399.0774236323179,399.7560651187904,398.77897242940446,398.9246009676217,399.366777972605,96.0,399.1456894701134,0.8220500914759905,1,1.5383767444688012,0.17151484589542296
75.75,0.0,399.1428606272423,0.8227535093417117,96.0,394.95479717941816,400.0000000000006,520717.71462021524,82.28537978479397,1.5507786984346146,-1.8414532263477668e-06,5.650662988562013e-09,1.6653345369377348e-15,4.163336342344337e-17,1.6708555355099846,0.021008712425946634,-44.40047791098563,0.0,0.0,399.1442480436372,398.4080970386764,399.07379502146847,399.75224773264017,398.7775055451361,398.9216737787885,399.3640474756962,96.0,399.1428606272423,0.8227535093417117,1,1.5383767444688012,0.17156706290336066
