time_s,gap_m,roi_mean_ppm,roi_std_ppm,roi_volume_m3,minimum_ppm,maximum_ppm,inventory_ppm_m3,deficit_ppm_m3,max_speed_m_s,budget_residual_ppm_m3,budget_fraction,divergence_s_inv,gcl_m3,max_courant,eddy_diffusivity_m2_s,source_umol_s,mouth_inflow_m3_s,mouth_outflow_m3_s,centre_low_ppm,centre_mid_ppm,centre_high_ppm,left_mid_ppm,right_mid_ppm,left_half_mean_ppm,right_half_mean_ppm,shell_volume_m3,shell_mean_ppm,shell_std_ppm,fans_on,fan_force_n,roi_mean_speed_m_s
1683.0,2.0,399.76763387872126,0.32390286100205284,96.0,397.8383616621833,400.0000000006529,520755.7370004828,44.26299951721896,1.5031654951602833,4.710970893029298e-05,2.40933885662959e-08,1.7716324861039727e-15,8.326672684688674e-17,3.819521568713922,0.02161691202420879,-44.40047791098563,10.308578948338278,10.308578948338278,399.9662095101847,399.4975528219159,399.78741904304957,399.2508562961908,399.75476072451517,399.620906276061,399.8629101590903,96.0,399.74190821757566,0.3179443167503322,0,0.0,0.841073939835565
1683.5,2.0,399.76761059572374,0.3239033164757811,96.0,397.83845387435116,400.00000000065285,520755.73140516714,44.268594832928144,1.5031538370048383,4.710986922873417e-05,2.40934705479663e-08,1.7716324861039693e-15,8.326672684688674e-17,3.8195575037578213,0.021616952482545904,-44.40047791098563,10.312873136412314,10.312873136412316,399.9662035131826,399.49752336319324,399.78735621795386,399.2508428196234,399.7547434951956,399.6209025836317,399.8628545586148,96.0,399.7418785711232,0.3179411289198895,0,0.0,0.840906545728811
1684.0,2.0,399.7675872496123,0.3239048242304456,96.0,397.8385510231305,400.0000000006528,520755.72580781515,44.27419218495268,1.503142197398081,4.711000588031311e-05,2.4093540435886738e-08,1.7716324861039727e-15,1.0408340855860843e-16,3.8195934131853706,0.021616992995712903,-44.40047791098563,10.317161440721016,10.317161440721017,399.96619752466165,399.4974936096716,399.7872930046274,399.25082824960276,399.7547259596697,399.6208988292278,399.8627993321097,96.0,399.7418490806687,0.3179380447155711,0,0.0,0.8407393794895365
1684.5,2.0,399.76756387957994,0.3239061861804241,96.0,397.83865332800656,400.00000000065273,520755.7202084018,44.27979159823961,1.5031305763555483,4.7109885827012477e-05,2.4093479036848484e-08,1.6653345369377348e-15,1.0408340855860843e-16,3.819629296164467,0.021617033563830074,-44.40047791098563,10.321443798890694,10.321443798890694,399.9661915402975,399.4974635929494,399.7872293781021,399.25081272343954,399.75470808184167,399.62089497193057,399.86274454991343,96.0,399.741819760922,0.3179349807956662,0,0.0,0.8405724400193025
1685.0,2.0,399.7675405572159,0.32390865556032533,96.0,397.8387609805791,400.0000000006527,520755.7146068706,44.28539312942324,1.5031189738399797,4.7109618435570155e-05,2.4093342284445095e-08,1.7716324861039727e-15,8.326672684688674e-17,3.8196651519469524,0.02161707418689011,-44.40047791098563,10.325720149397743,10.325720149397743,399.9661855550867,399.4974333376089,399.7871653072788,399.2507957319385,399.75468984383684,399.620890995078,399.8626903226123,96.0,399.7417906588452,0.31793166629746206,0,0.0,0.8404057260880317
1685.5,2.0,399.76751735466087,0.32391201459572644,96.0,397.8388723631928,400.0000000006526,520755.70900313277,44.29099686721682,1.5031073898263734,4.7109072511375416e-05,2.409306308162151e-08,1.7716324861039758e-15,9.020562075079397e-17,3.8197009798911794,0.021617114864765117,-44.40047791098563,10.329990389318873,10.329990389318873,399.96617954261916,399.49740284933563,399.78710075582956,399.250777787876,399.7546712428006,399.62088684571836,399.8626367175494,96.0,399.7417617816339,0.3179281535793168,0,0.0,0.8402392355807509
1686.0,2.0,399.7674945599402,0.3239135157504841,96.0,397.8389898265163,400.00000000065256,520755.70339707675,44.296602923311994,1.5030958241631402,4.710839834842773e-05,2.4092718293461604e-08,1.6653345369377334e-15,8.326672684688674e-17,3.8197367795077923,0.0216171555967494,-44.40047791098563,10.334254672173827,10.334254672173829,399.9661735161539,399.4973721118756,399.78703568287267,399.2507595105054,399.7546523174857,399.62088254142253,399.862583778128,96.0,399.74173315977526,0.3179231587030583,0,0.0,0.840072970419075
1686.5,2.0,399.7674718970895,0.3239145772206216,96.0,397.83911337457715,400.0000000006525,520755.6977885874,44.302211412616266,1.503084276758075,4.710729444923345e-05,2.40921537246534e-08,1.7716324861039758e-15,8.326672684688674e-17,3.81977255038285,0.02161719638142075,-44.40047791098563,10.338512983120829,10.338512983120825,399.966167489146,399.4973411340057,399.78697004467,399.2507413089522,399.754633138834,399.6208781699159,399.8625315408753,96.0,399.74170485539554,0.31791856621370596,0,0.0,0.8399069288254313
1687.0,2.0,399.7674493116226,0.3239156406548976,96.0,397.839239682574,400.00000000065245,520755.6921775778,44.30782242222047,1.503072747535501,4.710581561084837e-05,2.40913974001367e-08,1.7716324861039727e-15,9.71445146547012e-17,3.8198082921220995,0.02161723721851694,-44.40047791098563,10.342765286384626,10.34276528638463,399.96616146247595,399.4973099689148,399.7869037974073,399.2507234446408,399.75461370487403,399.6208737885454,399.86248014253346,96.0,399.7416769655394,0.3179147464854609,0,0.0,0.8397411087567915
1687.5,2.0,399.76742703109863,0.3239152826293645,96.0,397.8393667653874,400.0000000006524,520755.68656402995,44.313435970087056,1.5030612364307407,4.710387906925462e-05,2.409040699178665e-08,1.7716324861039727e-15,8.326672684688674e-17,3.8198440043440445,0.02161727810791556,-44.40047791098563,10.347011547422529,10.34701154742253,399.9661554360061,399.49727865543593,399.7868479817246,399.25070605402175,399.75459399220154,399.62086934985035,399.8624299412511,96.0,399.74164964555075,0.3179103669808758,0,0.0,0.8395755083453688
